hour	min	Weekday	Lat	Lon
0	03	3	40.7366	-73.9906
0	09	3	40.726	-73.9918
0	12	3	40.7209	-74.0507
0	12	3	40.7387	-73.9856
0	12	3	40.7323	-74.0077
0	13	3	40.7349	-74.0033
0	15	3	40.7279	-73.9542
0	17	3	40.721	-73.9937
0	19	3	40.7195	-74.006
0	20	3	40.7448	-73.9799
0	21	3	40.7399	-74.0057
0	25	3	40.7651	-73.9683
0	27	3	40.7354	-74.0081
0	29	3	40.7339	-74.0028
0	29	3	40.7364	-74.0301
0	29	3	40.7364	-74.0301
0	30	3	40.7252	-73.9516
0	30	3	40.7433	-73.986
0	34	3	40.7437	-73.9884
0	36	3	40.7406	-74.0077
0	48	3	40.7421	-74.0002
0	52	3	40.7394	-74.0069
0	53	3	40.7153	-73.9666
0	54	3	40.6888	-73.9853
0	54	3	40.7194	-74.0428
0	55	3	40.7562	-73.9714
0	58	3	40.7601	-73.9839
1	01	3	40.7585	-73.9732
1	08	3	40.7711	-73.9832
1	09	3	40.7133	-74.0092
1	11	3	40.7222	-73.9588
1	19	3	40.7399	-74.0024
1	22	3	40.6545	-74.0017
1	22	3	40.6879	-74.1812
1	30	3	40.7151	-74.0077
1	33	3	40.7405	-73.989
1	41	3	40.7639	-73.9743
1	43	3	40.7416	-74.0039
1	44	3	40.6878	-74.1821
1	44	3	40.6878	-74.1821
1	49	3	40.71	-74.0055
1	49	3	40.7132	-73.9585
2	11	3	40.6949	-74.1779
2	11	3	40.7616	-73.9843
2	25	3	40.7555	-73.9838
2	30	3	40.7137	-73.9961
2	48	3	40.7547	-73.9686
2	53	3	40.7581	-73.9996
2	56	3	40.7214	-73.9938
2	59	3	40.7211	-73.9878
3	03	3	40.7563	-73.9923
3	05	3	40.7372	-74.0022
3	14	3	40.7672	-73.9668
3	26	3	40.7208	-73.9974
3	28	3	40.7436	-73.9943
3	28	3	40.7418	-74.0054
3	33	3	40.7259	-73.9835
3	36	3	40.7511	-73.9823
3	39	3	40.7647	-73.9586
3	43	3	40.7589	-73.9941
3	53	3	40.7184	-73.9872
3	55	3	40.7138	-73.9943
3	57	3	40.7778	-73.9796
4	03	3	40.7944	-73.9662
4	06	3	40.7643	-73.9958
4	12	3	40.8072	-73.9674
4	16	3	40.7748	-73.991
4	16	3	40.7621	-73.9719
4	19	3	40.7822	-73.9598
4	21	3	40.7564	-73.9682
4	23	3	40.7348	-74.0004
4	27	3	40.7733	-73.9667
4	30	3	40.7577	-73.9746
4	33	3	40.7284	-74.0558
4	43	3	40.7595	-73.962
4	46	3	40.6469	-73.7904
5	00	3	40.6488	-73.783
5	04	3	40.6449	-73.7821
5	10	3	40.7422	-73.9918
5	13	3	40.7661	-73.9465
5	14	3	40.6795	-73.9761
5	20	3	40.787	-73.9693
5	24	3	40.6443	-73.7821
5	30	3	40.7172	-74.0016
5	31	3	40.7448	-73.9337
5	32	3	40.7255	-74.0054
5	32	3	40.7211	-74.0043
5	34	3	40.7206	-73.9954
5	38	3	40.7408	-73.9896
5	38	3	40.7408	-73.9896
5	42	3	40.7371	-74.0019
5	49	3	40.6833	-73.9817
5	50	3	40.767	-73.971
5	51	3	40.7136	-74.0085
5	52	3	40.7515	-74.0033
5	52	3	40.7677	-73.9928
5	55	3	40.7442	-73.9744
5	58	3	40.7424	-73.9974
6	02	3	40.7244	-73.9787
6	04	3	40.7638	-73.9639
6	04	3	40.7566	-73.9654
6	07	3	40.7276	-73.9959
6	08	3	40.7442	-74.0077
6	09	3	40.7247	-74.0005
6	09	3	40.7247	-73.9836
6	10	3	40.7404	-74.0037
6	10	3	40.7792	-73.9468
6	13	3	40.7309	-74.0052
6	13	3	40.7614	-73.9622
6	14	3	40.7561	-73.9703
6	14	3	40.6935	-73.98
6	15	3	40.7447	-73.9891
6	20	3	40.7054	-74.0075
6	24	3	40.7695	-73.9575
6	24	3	40.6754	-73.872
6	29	3	40.7659	-73.9167
6	29	3	40.7448	-73.9947
6	29	3	40.7241	-73.9784
6	31	3	40.6691	-73.9422
6	32	3	40.7234	-74.0096
6	34	3	40.7236	-74.0109
6	35	3	40.9308	-73.8488
6	35	3	40.7649	-73.9833
6	36	3	40.7704	-73.9646
6	36	3	40.7198	-74.0075
6	39	3	40.6847	-73.9712
6	39	3	40.6949	-74.1771
6	40	3	40.673	-73.9866
6	43	3	40.6448	-73.7822
6	43	3	40.7434	-73.9744
6	43	3	40.9464	-73.726
6	45	3	40.7245	-73.992
6	45	3	40.717	-74.0124
6	46	3	40.763	-73.976
6	46	3	40.7808	-73.9488
6	48	3	40.9086	-73.9463
6	50	3	40.796	-73.9498
6	51	3	40.758	-73.9849
6	51	3	40.7855	-73.9803
6	52	3	40.7215	-74.0042
